DEPT,COURSE,CREDITS,COURSE TITLE,COMPONENT,TIME-START,DAYS,ROOM,INSTRUCTOR,MAX-ENRLNT
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,1:00 PM,W,HALE 246,"Paine,Oliver Charles C",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,3:00 PM - 4:50 PM,W,HALE 246,"Ang,Hui Fang Andie",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,5:00 PM,W,HALE 246,"Schissler,Eric James",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,10:00 AM,TH,HALE 246,"Schissler,Eric James",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,12:00 PM,TH,HALE 246,"Ang,Hui Fang Andie",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,2:00 PM,TH,HALE 246,"Washabaugh,Jennifer",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,4:00 PM,TH,HALE 246,"Washabaugh,Jennifer",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,10:00 AM,F,HALE 246,"Van Der Heide,Grietje",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,12:00 PM,F,HALE 246,"Van Der Heide,Grietje",16
ANTH,2030,1,Lab in Phys Anthropology 1,MLS,2:00 PM,F,HALE 246,"Van Der Heide,Grietje",16
ANTH,2100,3,Intro to Cultural Anthropology,LEC,11:00 AM,MW,HALE 270,"McGranahan,Carole An",150
ANTH,2100,3,Intro to Cultural Anthropology,REC,8:00 AM,TH,CLRE 209,"Zackary,Burditt Andrew",25
ANTH,2200,3,The Archaeology of Human Hist,LEC,4:00 PM,MW,HLMS 252,"Cameron,Catherine M",95
ANTH,2210,1,Lab-Archaeological Meths,MLS,2:00 PM,W,HALE 256,"Brzezinski,Jeffrey Scott",18
ANTH,2210,1,Lab-Archaeological Meths,MLS,2:00 PM,TH,HALE 256,"Brzezinski,Jeffrey Scott",18
ANTH,3000,3,Primate Behavior,LEC,11:00 AM,MWF,HALE 230,"Sauther,Michelle Linda",88
ANTH,3000,3,Primate Behavior,LEC,9:00 AM - 9:50 AM,MWF HALE 240,,"Sauther,Michelle Linda",35
ANTH,3160,3,Peoples South Pacific,LEC,2:00 PM,TTH,HALE 230,"Shankman,P",88
ANTH,4020,3,Explorations in Anthro,LEC,9:30 AM,TTH,HALE 260,"Jones,Carla Mae",35
ANTH,4020,3,Explorations in Anthro,LEC,5:00 PM,MW,HALE 240,"Gutierrez,Gerardo",35
ANTH,4020,3,Explorations in Anthro,LEC,12:30 PM - 1:45 PM,TTH,HALE 260,"Ortman,Scott Graham",35
ANTH,4710,3,Dept Honors in Anthropology 1,LEC,9:00 AM - 11:30 AM,W,HALE 450,"Jones,Carla Mae",15
ANTH,5020,3,Explorations in Anthro,LEC,9:30 AM,TTH,HALE 260,"Jones,Carla Mae",5
ANTH,5020,3,Explorations in Anthro,LEC,5:00 PM,MW,HALE 240,"Gutierrez,Gerardo",5
ANTH,5020,3,Explorations in Anthro,LEC,12:30 PM,TTH,HALE 260,"Ortman,Scott Graham",5
ANTH,5020,3,Explorations in Anthro,LEC,3:00 PM,MW,MUEN E113,"Cool,Alison Collier",5
ANTH,5020,3,Explorations in Anthro,LEC,1:00 PM,TH,HALE 455,"Goldfarb,Kathryn",6
ANTH,5020,3,Explorations in Anthro,LEC,9:30 AM,TTH,HALE 260,"Jones,Carla Mae",5
ANTH,5020,3,Explorations in Anthro,LEC,5:00 PM,MW,HALE 240,"Gutierrez,Gerardo",5
ANTH,5020,3,Explorations in Anthro,LEC,12:30 PM,TTH,HALE 260,"Ortman,Scott Graham",5
ANTH,5020,3,Explorations in Anthro,LEC,3:00 PM,MW,MUEN E113,"Cool,Alison Collier",5
ANTH,5020,3,Explorations in Anthro,LEC,1:00 PM,TH,HALE 455,"Goldfarb,Kathryn",6
ANTH,5120,3,Advanced Physical Anthroplogy,LEC,9:30 AM,TTH,HALE 240,"Bernstein,Robin Miriam",5
ANTH,5120,3,Advanced Physical Anthroplogy,LEC,2:00 PM,M,HALE 455,"Leigh,Steven Robert",8
ANTH,5120,3,Advanced Physical Anthroplogy,LEC,9:30 AM,TTH,HALE 240,"Bernstein,Robin Miriam",5
ANTH,5120,3,Advanced Physical Anthroplogy,LEC,2:00 PM,M,HALE 455,"Leigh,Steven Robert",8
ANTH,5240,3,Geoarchaeology,LEC,10:00 AM,MWF,HALE 240,"Sheets,Payson Daniel",5
ANTH,5240,3,Geoarchaeology,LEC,10:00 AM,MWF,HALE 240,"Sheets,Payson Daniel",5
ANTH,5390,3,Res Methods in Archaeology 1,SEM,11:00 AM,M,HALE 256,"Cameron,Catherine M",10
ANTH,5390,3,Res Methods in Archaeology 1,SEM,11:00 AM,M,HALE 256,"Cameron,Catherine M",10
ANTH,5470,3,Anth Collections Research,PRA,1:00 PM - 3:50 PM,TH,HEND 212,"Shannon,Jennifer",15
ANTH,5470,3,Anth Collections Research,PRA,1:00 PM - 3:50 PM,TH,HEND 212,"Shannon,Jennifer",15
ANTH,5610,3,Medical Anthropology,LEC,3:30 PM,T,HALE 240,"Goldstein,Donna M",5
ANTH,5610,3,Medical Anthropology,LEC,3:30 PM,T,HALE 240,"Goldstein,Donna M",5
ANTH,5630,3,Nomad Peoples/E. Africa,LEC,11:00 AM,TTH,HALE 260,"McCabe,Terrence J",5
ANTH,5630,3,Nomad Peoples/E. Africa,LEC,11:00 AM,TTH,HALE 260,"McCabe,Terrence J",5
ANTH,5780,3,Core Crse/Cult Anthropology,SEM,10:00 AM,TH,HALE 455,"Roland,Lorecia Kaifa-Al",15
ANTH,5780,3,Core Crse/Cult Anthropology,SEM,10:00 AM,TH,HALE 455,"Roland,Lorecia Kaifa-Al",15
ANTH,5795,3,Proseminar in Anthropology,SEM,10:00 AM,T,HALE 450,"Joyce,Arthur A",15
ANTH,5795,3,Proseminar in Anthropology,SEM,10:00 AM,T,HALE 450,"Joyce,Arthur A",15
ANTH,6320,3,Linguistic Anthropology,SEM,2:00 PM,T,SEE DEPT,"Hall,Kira",20
ANTH,6320,3,Linguistic Anthropology,SEM,2:00 PM,T,SEE DEPT,"Hall,Kira",20
ANTH,7000,3,Sem-Cur Rsch Tpc Clt Ant,SEM,1:00 PM,M,HALE 450,"Jacka,Jerry Keith",15
ANTH,7000,3,Sem-Cur Rsch Tpc Clt Ant,SEM,1:00 PM,M,HALE 450,"Jacka,Jerry Keith",15
ANTH,7030,3,Sem-Archaeology,SEM,10:00 AM,W,HALE 455,"Bamforth,Douglas",15
ANTH,7030,3,Sem-Archaeology,SEM,10:00 AM,W,HALE 455,"Bamforth,Douglas",15
ANTH,7600,3,Hum Ecol:Cultur Aspects,LEC,2:30 PM - 5:00 PM,T,HALE 455,"McCabe,Terrence J",15
ANTH,7600,3,Hum Ecol:Cultur Aspects,LEC,2:30 PM - 5:00 PM,T,HALE 455,"McCabe,Terrence J",15
APPM,1235,4,Pre-Calculus for Engineers,REC,8:00 AM,TH,FLMG 154,"Lindsey,Daniel Seneca",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,9:00 AM,MWF,FLMG 103,"Lindsey,Daniel Seneca",35
APPM,1235,4,Pre-Calculus for Engineers,REC,9:00 AM,TH,FLMG 154,"Lindsey,Daniel Seneca",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,10:00 AM,MWF,FLMG 102,"DE Franco,Ann",35
APPM,1235,4,Pre-Calculus for Engineers,REC,10:00 AM,TH,FLMG 154,"DE Franco,Ann",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,11:00 AM,MWF,FLMG 156,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,REC,11:00 AM,TH,FLMG 154,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,12:00 PM,MWF,FLMG 156,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,REC,12:00 PM,TH,FLMG 154,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,2:00 PM,MWF,FLMG 157,"Mendoza,Cristian",35
APPM,1235,4,Pre-Calculus for Engineers,REC,2:00 PM,TH,FLMG 154,"Mendoza,Cristian",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,9:00 AM,MWF,RAMY N1B31,"Tutmaher,Rachel Suza",28
APPM,1235,4,Pre-Calculus for Engineers,REC,9:00 AM,TH,MUEN E130,"Tutmaher,Rachel Suza",28
APPM,1235,4,Pre-Calculus for Engineers,REC,8:00 AM,TH,FLMG 154,"Lindsey,Daniel Seneca",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,9:00 AM,MWF,FLMG 103,"Lindsey,Daniel Seneca",35
APPM,1235,4,Pre-Calculus for Engineers,REC,9:00 AM,TH,FLMG 154,"Lindsey,Daniel Seneca",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,10:00 AM,MWF,FLMG 102,"DE Franco,Ann",35
APPM,1235,4,Pre-Calculus for Engineers,REC,10:00 AM,TH,FLMG 154,"DE Franco,Ann",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,11:00 AM,MWF,FLMG 156,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,REC,11:00 AM,TH,FLMG 154,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,12:00 PM,MWF,FLMG 156,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,REC,12:00 PM,TH,FLMG 154,"Williams,Sandra S",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,2:00 PM,MWF,FLMG 157,"Mendoza,Cristian",35
APPM,1235,4,Pre-Calculus for Engineers,REC,2:00 PM,TH,FLMG 154,"Mendoza,Cristian",35
APPM,1235,4,Pre-Calculus for Engineers,LEC,9:00 AM,MWF,RAMY N1B31,"Tutmaher,Rachel Suza",28
APPM,1235,4,Pre-Calculus for Engineers,REC,9:00 AM,TH,MUEN E130,"Tutmaher,Rachel Suza",28
APPM,1340,3,Calculus 1A with Algebra,LEC,,,Distance Secti,"Cox,Murray William",30
APPM,1340,3,Calculus 1A with Algebra,LEC,,,Distance Secti,"Cox,Murray William",30
APPM,1350,4,Calculus 1 for Engineers,LEC,12:00 PM,MWF,ECCR 200,"Curry,James H",106
APPM,1350,4,Calculus 1 for Engineers,LEC,1:00 PM,MWF,ECCR 1B40,"Dougherty,Anne Marga",138
APPM,1350,4,Calculus 1 for Engineers,LEC,2:00 PM,MWF,ECCR 265,"Cox,Murray William",136
APPM,1350,4,Calculus 1 for Engineers,LEC,3:00 PM,MWF,ECCR 1B40,"Thaler,Eric Ronald",125
APPM,1350,4,Calculus 1 for Engineers,LEC,4:00 PM,MWF,ECCR 200,"Miquel,Benjamin Franc",95
APPM,1350,0,Calculus 1 for Engineers,REC,9:00 AM,T,,,0
APPM,1350,0,Calculus 1 for Engineers,REC,12:00 PM,T,MUEN E123,"Niazi,Sorayya",25
APPM,1350,4,Calculus 1 for Engineers,LEC,8:30 AM,MWF,SEE DEPT,"DE Franco,Ann",16
APPM,1350,4,Calculus 1 for Engineers,LEC,1:00 PM,MWF,LRVN N101,"Kish,Jonathan Robert",32
APPM,1350,4,Calculus 1 for Engineers,LEC,8:00 AM - 8:50 AM,MWF ECCR 265,,"Chang,Silva",135
APPM,1350,4,Calculus 1 for Engineers,LEC,9:00 AM - 9:50 AM,MWF ECCR 200,,"Cox,Murray William",106
APPM,1350,4,Calculus 1 for Engineers,LEC,8:00 AM - 8:50 AM,MWF ECCR 265,,"Chang,Silva",135
APPM,1350,4,Calculus 1 for Engineers,LEC,9:00 AM - 9:50 AM,MWF ECCR 200,,"Cox,Murray William",106
APPM,1360,4,Calculus 2 for Engineers,LEC,8:00 AM,MWF,ECCR 200,"Zaharatos,Brian",70
APPM,1360,4,Calculus 2 for Engineers,LEC,11:00 AM,MWF,FLMG 154,"Bhat,Yermal Sujeet",60
APPM,1360,4,Calculus 2 for Engineers,LEC,1:00 PM,MWF,ECCR 265,"Bhat,Yermal Sujeet",135
APPM,1360,4,Calculus 2 for Engineers,LEC,2:00 PM,MWF,ECCR 200,"Zaharatos,Brian",85
APPM,2350,4,Calculus 3 for Engineers,LEC,8:00 AM,MWF,ECCR 245,"Fry,Brendan",87
APPM,2350,4,Calculus 3 for Engineers,LEC,10:00 AM,MWF,ECCR 265,"Kish,Jonathan Robert",143
APPM,2350,4,Calculus 3 for Engineers,LEC,11:00 AM,MWF,ECCR 200,"Fry,Brendan",103
APPM,2350,4,Calculus 3 for Engineers,LEC,12:00 PM,MWF,ECCR 265,"Ketelsen,Christian Willy",143
APPM,2350,4,Calculus 3 for Engineers,LEC,4:00 PM,MWF,EDUC 220,"Rumanov,Igor",88
APPM,2350,4,Calculus 3 for Engineers,LEC,2:00 PM,MWF,LRVN N101,"Ketelsen,Christian Willy",36
APPM,2360,4,Intro Diff Eq W/Lin Alg,LEC,8:00 AM,MWF,FLMG 104,"Hoefer,Mark Alan",50
APPM,2360,4,Intro Diff Eq W/Lin Alg,LEC,11:00 AM,MWF,ECCR 265,"Norris II,Jan Adam",140
APPM,2360,4,Intro Diff Eq W/Lin Alg,LEC,12:00 PM,MWF,ECCR 245,"Voronin,Sergey",93
APPM,2360,4,Intro Diff Eq W/Lin Alg,LEC,1:00 PM,MWF,ECCR 245,"Li,Congming",92
APPM,2360,4,Intro Diff Eq W/Lin Alg,LEC,3:00 PM,MWF,HUMN 1B90,"Ma,Yiping",47
APPM,2450,1,Calculus 3 Computer Lab,LEC,11:00 AM,T,ECCR143,"Folberth,James Michae",25
APPM,2450,1,Calculus 3 Computer Lab,LEC,12:00 PM,T,ECCR143,"Folberth,James Michae",25
APPM,2450,1,Calculus 3 Computer Lab,LEC,4:00 PM,T,ECCR143,"Wills,Peter",25
APPM,2460,1,Diff Eq Computer Lab,LEC,9:00 AM,T,ECCR143,"Sprenger,Patrick Gleas",25
APPM,2460,1,Diff Eq Computer Lab,LEC,10:00 AM,T,ECCR143,"Sprenger,Patrick Gleas",25
APPM,2460,1,Diff Eq Computer Lab,LEC,1:00 PM,T,ECCR143,"Heavner,Nathan",25
APPM,2460,1,Diff Eq Computer Lab,LEC,2:00 PM,T,ECCR143,"Heavner,Nathan",25
APPM,3010,3,Intro/Nonlinear System: Chaos,LEC,12:00 PM,MWF,ECCR 118,"Restrepo,Juan G",27
APPM,3170,3,Discrete Applied Mathematics,LEC,3:00 PM,MWF,FLMG 154,"Bhat,Yermal Sujeet",40
APPM,3310,3,Matrix Methods/Applicats,LEC,9:00 AM,MWF,DUAN G2B47,"Zaharatos,Brian",48
APPM,3310,3,Matrix Methods/Applicats,LEC,2:00 PM,MWF,FLMG 104,"Fry,Brendan",48
APPM,3350,3,Advanced Engineering Calculus,LEC,3:00 PM,MWF,ECCR 135,"Norris II,Jan Adam",30
APPM,3570,3,Applied Probability,LEC,9:00 AM,MWF,ECCR 150,"Kleiber,William Paul",48
APPM,4350,3,Fourier Ser/Boundary Val,LEC,12:00 PM,MWF,ECCR 151,"Segur,Harvey",43
APPM,4350,3,Fourier Ser/Boundary Val,LEC,1:00 PM,MWF,ECCR 155,"Segur,Harvey",43
APPM,4350,3,Fourier Ser/Boundary Val,LEC,10:00 AM,MWF,FLMG 154,"Hoefer,Mark Alan",43
APPM,4440,3,Ugrad Applied Analysis 1,LEC,11:00 AM,MWF,ECCR 135,"Meiss,James",40
APPM,4520,3,Intro-Mathematical Statistics,LEC,2:00 PM,MWF,FLMG 154,"Corcoran,Jem",20
APPM,4560,3,Markov Processes,LEC,1:00 PM,MWF,FLMG 157,"Lladser,Manuel Bosco",28
APPM,4570,3,Statistical Methods,LEC,2:00 PM,MWF,ECCR 105,"Slichter,Yolanda Hagar",35
APPM,5350,3,Fourier Ser/Boundary Val,LEC,12:00 PM,MWF,ECCR 151,"Segur,Harvey",5
APPM,5350,3,Fourier Ser/Boundary Val,LEC,1:00 PM,MWF,ECCR 155,"Segur,Harvey",5
APPM,5350,3,Fourier Ser/Boundary Val,LEC,10:00 AM,MWF,FLMG 154,"Hoefer,Mark Alan",5
APPM,5380,3,Modeling in Applied Mathematic,LEC,11:00 AM,MWF,ECCR 131,"Fornberg,Bengt",10
APPM,5440,3,Applied Analysis 1,LEC,10:00 AM,MWF,ECCR 131,"Corcoran,Jem",25
APPM,5470,3,Mthds APPM: Part Diff/Ingrl Eq,LEC,12:00 PM,MWF,ECCR 131,"Li,Congming",25
APPM,5520,3,Intro-Mathematical Statistics,LEC,2:00 PM,MWF,FLMG 154,"Corcoran,Jem",20
APPM,5570,3,Statistical Methods,LEC,2:00 PM,MWF,ECCR 105,"Slichter,Yolanda Hagar",10
APPM,5600,3,Numerical Analysis 1,LEC,9:00 AM,MWF,FLMG 102,"Fornberg,Bengt",30
APPM,7100,3,Dynamical Systems,LEC,12:00 PM,MWF,SEE DEPT,"Meiss,James",15
